m0,m12,A0,tanbeta,tanbetaR,VR,signmuR,Ys,Yv,neutralino_mass,sneutrino_mass,gluino_mass,Cha1_mass,Mzp_mass,stau_mass,selectron_mass,stop_mass,sbottom_mass,smuon_mass,h1_mass,BtoXsgamma,Bstomumu,BRBtotaunu,DD,relic_density
1810.5,1892.8,-1801.5,60.409,1.0677,16771,-1,0.69906,0.076915,841.303977,1502.05031,4018.62983,1570.76489,6040.85588,1981.74545,851.191052,3882.43308,3716.60886,1519.23242,123.373411,0.000315274544,5.20825179E-09,0.927432162,9.528E-12,0.134
1809.2,1896.5,-1800.3,60.634,1.0704,16764,-1,0.71407,0.064648,843.459946,1487.06581,4024.15741,1574.02891,6041.6305,1972.61618,848.497015,3887.45001,3714.46022,1505.12571,123.360815,0.00031521327,5.22783449E-09,0.927402923,9.528E-12,0.0927
1814.9,1894.1,-1805.7,60.449,1.0662,16760,-1,0.71251,0.077882,842.110432,1504.96199,4020.80905,1572.05396,6039.01702,1985.77059,851.702656,3885.76556,3719.88454,1521.90959,123.50114,0.000315276741,5.21850676E-09,0.927415926,9.527E-12,0.132
1808.8,1893.7,-1799.6,60.617,1.0705,16756,-1,0.71324,0.072575,841.984811,1484.45757,4019.44889,1571.60943,6038.10065,1970.27491,848.077717,3883.81788,3710.8125,1502.60974,123.341833,0.000315175146,5.2109026E-09,0.999978796,9.465E-12,0.0985
1799.8,1880.6,-1807.5,60.367,1.0636,16741,-1,0.72998,0.096482,836.533687,1487.27749,3991.75641,1561.13098,6035.85273,1965.09778,845.199171,3857.02297,3691.36735,1504.36838,123.594797,0.000315069123,5.18358692E-09,0.995651961,9.463E-12,0.118
1810.2,1901.2,-1798.2,60.222,1.0627,16761,-1,0.70372,0.095995,845.236432,1520.58058,4034.33333,1577.92001,6038.15995,1993.55855,852.745419,3892.35683,3734.56877,1536.79262,123.556648,0.000315377685,5.17386085E-09,0.99997892,9.456E-12,0.121
1800,1885.9,-1803.9,60.225,1.0609,16736,-1,0.7229,0.10099,838.372028,1503.77044,4003.77677,1565.23969,6031.62866,1976.29433,845.805133,3865.14483,3705.96386,1520.08644,123.686483,0.000315199031,5.17821441E-09,0.999978942,9.452E-12,0.114
1821.9,1897,-1802.7,60.548,1.0672,16759,-1,0.70893,0.092512,843.474385,1504.63685,4026.97301,1574.62394,6038.34279,1989.22336,850.98365,3893.47837,3726.75802,1521.8159,123.432773,0.000315285464,5.20070498E-09,0.999978773,9.421E-12,0.114
1809,1897.8,-1804.5,60.624,1.0722,16769,-1,0.71463,0.058748,843.673194,1481.47905,4027.90488,1574.84751,6042.74135,1969.02196,850.30698,3891.15773,3715.10588,1499.98694,123.322079,0.000315152038,5.20081035E-09,0.928024561,9.401E-12,0.101
1813.6,1885.2,-1805.3,60.715,1.0749,16756,-1,0.68505,0.08038,837.704878,1475.19798,4005.10156,1564.3911,6033.46537,1966.51628,843.999852,3875.71103,3700.23719,1494.04572,123.063934,0.000315129463,5.20910867E-09,0.995589965,9.4E-12,0.0956
