m0,m12,A0,tanbeta,tanbetaR,VR,signmuR,Ys,Yv,neutralino_mass,sneutrino_mass,gluino_mass,Cha1_mass,Mzp_mass,stau_mass,selectron_mass,stop_mass,sbottom_mass,smuon_mass,h1_mass,BtoXsgamma,Bstomumu,BRBtotaunu,DD,relic_density
894.5,2051.8,668.44,38.329,1.0142,14505,-1,0.47857,0.19238,905.219217,1528.63794,4274.53813,1678.23015,5224.01186,1211.05308,980.368581,3767.44692,3741.47511,1210.3083,122.196773,0.000316553158,3.25518105E-09,0.977081646,1.462E-11,3.96
1288.8,1512.2,1255.5,42.456,1.0263,17313,-1,0.73244,0.044249,659.543786,1348.84641,3247.48664,1230.286,6226.41444,1479.00091,1161.87231,3068.54342,2957.56234,1355.39039,122.190944,0.000315144306,3.42670503E-09,0.965963748,2.844E-11,8.58
2547.9,1330.6,-4950.4,37.573,1.1328,16652,-1,0.45497,0.18037,590.02031,1862.85182,2979.86297,1118.76361,5951.42121,2305.97927,1817.54163,3580.05254,3288.27405,1930.61051,124.807621,0.000306724611,3.34548755E-09,0.999002404,1.442E-12,43.6
2961.7,1643.9,-7225.6,6.0019,1.1585,19067,-1,0.71866,0.050232,735.345462,2590.39739,3612.39395,1381.67606,6840.60495,2602.11514,2584.15307,4274.72963,3791.63341,2602.05173,123.851016,0.000315118455,3.22595421E-09,0.999997484,2.306E-12,55.2
2906.4,1742.9,-4682,23.785,1.0565,17873,-1,0.54973,0.045493,777.010219,2333.35659,3808.90245,1461.41874,6408.77096,2937.67465,2730.67303,4292.51812,4122.76382,2794.63792,125.28528,0.000312653604,3.23809494E-09,0.989465501,2.137E-12,67.5
2333.6,2083.3,-1124.8,26.807,1.0665,14056,1,0.49576,0.34952,928.858552,1397.19574,4423.41013,1732.54965,5063.57711,2481.90911,2300.90127,4387.0756,4289.63421,2392.88526,123.73848,0.000315066787,3.22461809E-09,0.988468416,4.419E-12,38.8
2591.7,1786.1,-5339.4,42.773,1.0793,13527,-1,0.31628,0.2084,797.705141,2075.71108,3868.35659,1499.93701,4858.78291,2641.82698,1411.39186,4143.12452,4038.03621,2085.1207,123.975952,0.000310226496,3.43873419E-09,0.999994157,1.488E-12,26.3
867.63,2234.3,-1763.1,23.076,1.0207,18515,1,0.6647,0.050153,990.743253,1581.10257,4624.73222,1837.63246,6669.86424,1276.96332,1108.63618,4061.40376,3996.09397,1276.38825,124.712706,0.000315757837,3.22969216E-09,0.988678011,5.114E-12,7.56
2854.8,1143.5,-2051.2,19.857,1.0801,19175,1,0.63959,0.4582,507.08982,2294.33743,2626.00292,964.418309,6881.04393,2359.17298,2285.29249,3584.8,3286.6115,2358.91422,122.228636,0.00031424906,3.21914403E-09,0.999403773,1.851E-12,102
2995.3,1859.5,-1476.5,7.7637,1.1985,12702,1,0.71792,0.035924,828.929293,2942.25239,4036.94482,1548.31499,4584.11014,2950.87138,2940.64188,4501.06974,4248.58328,2950.83526,122.227753,0.000316411365,3.22483569E-09,0.999997455,1.127E-11,70.9
